0 0.367448 0.637963 0.145313 0.262963
0 0.367448 0.637963 0.145313 0.262963 0.832636
0 0.302604 0.749074 0.185417 0.211111 0.824467
0 0.417188 0.813889 0.161458 0.335185 0.870294
0 0.466406 0.92963 0.0880208 0.138889 0.606007
0 0.453646 0.920833 0.129167 0.156481 0.774358
0 0.241927 0.389352 0.113021 0.280556 0.832891
0 0.325 0.597685 0.103125 0.317593 0.824059
0 0.438542 0.673148 0.176042 0.468519 0.672018
0 0.345573 0.289352 0.0921875 0.302778 0.783394
0 0.282813 0.0768519 0.0625 0.153704 0.680826
0 0.189323 0.1125 0.0817708 0.225 0.677687
0 0.257292 0.918056 0.1125 0.162037 0.794346
0 0.467708 0.931019 0.0802083 0.137963 0.707215
0 0.482031 0.924074 0.0786458 0.151852 0.815424
0 0.338021 0.935185 0.0864583 0.12963 0.681287
0 0.178646 0.189352 0.0447917 0.150926 0.662772
0 0.467708 0.868056 0.133333 0.252778 0.838946
0 0.460677 0.732407 0.120312 0.437037 0.647859
0 0.246875 0.864815 0.102083 0.27037 0.777142
0 0.464844 0.933333 0.0973958 0.133333 0.671903
0 0.44349 0.938889 0.101562 0.12037 0.742122
0 0.30625 0.906482 0.08125 0.187037 0.820917
0 0.376042 0.900463 0.13125 0.189815 0.795555
0 0.182812 0.0824074 0.071875 0.164815 0.676359
0 0.263802 0.867593 0.118229 0.264815 0.782409
0 0.183073 0.0824074 0.0713542 0.164815 0.657778
0 0.184896 0.0569444 0.065625 0.113889 0.606268
0 0.454427 0.931481 0.0984375 0.137037 0.737988
0 0.489062 0.756019 0.108333 0.269444 0.827473
0 0.214062 0.28287 0.09375 0.217593 0.796321
0 0.434115 0.889815 0.105729 0.209259 0.831022
0 0.24349 0.312037 0.100521 0.205556 0.83053
0 0.293229 0.446759 0.121875 0.250926 0.845269
0 0.211719 0.147222 0.0692708 0.292593 0.762697
0 0.313802 0.396296 0.127604 0.312963 0.639239
0 0.348958 0.469907 0.107292 0.380556 0.769765
0 0.319792 0.569444 0.169792 0.281481 0.854336
0 0.204688 0.553704 0.0958333 0.177778 0.808237
0 0.474219 0.925926 0.0973958 0.148148 0.770521
0 0.347135 0.359722 0.100521 0.325 0.740622
0 0.409375 0.940278 0.104167 0.113889 0.693359
0 0.502344 0.949537 0.0890625 0.100926 0.641113
0 0.319271 0.781018 0.176042 0.189815 0.860352
0 0.365104 0.766204 0.172917 0.215741 0.86377
0 0.442969 0.928241 0.0911458 0.143519 0.66748
0 0.714323 0.65463 0.150521 0.25 0.6875
0 0.475781 0.893519 0.0765625 0.201852 0.802246
0 0.486979 0.927315 0.107292 0.14537 0.743164
0 0.451042 0.933333 0.125 0.127778 0.753418
0 0.460156 0.93287 0.115104 0.128704 0.769531
0 0.419792 0.872222 0.177083 0.255556 0.836426
0 0.523438 0.941667 0.0802083 0.109259 0.619141
0 0.448177 0.893056 0.129688 0.206481 0.8125
0 0.470573 0.895833 0.131771 0.206481 0.789551
0 0.33125 0.7125 0.161458 0.358333 0.858398
0 0.466406 0.917593 0.104687 0.157407 0.70752
0 0.464063 0.790278 0.142708 0.417593 0.729004
0 0.433333 0.856019 0.179167 0.287963 0.853027
0 0.182812 0.199074 0.059375 0.111111 0.661133
0 0.5375 0.761574 0.107292 0.29537 0.83252
0 0.413281 0.843982 0.138021 0.312037 0.86377
0 0.388802 0.629167 0.0755208 0.213889 0.625977
0 0.233333 0.344907 0.0989583 0.332407 0.851562
0 0.392188 0.888426 0.119792 0.217593 0.639648
0 0.435937 0.647685 0.120833 0.375 0.81543
0 0.409115 0.831481 0.158854 0.322222 0.849121
0 0.20599 0.360648 0.103646 0.384259 0.715332
0 0.190365 0.447222 0.0786458 0.298148 0.761719
0 0.407292 0.829167 0.15 0.337963 0.864258
0 0.445312 0.705093 0.111458 0.319444 0.838867
0 0.367188 0.753241 0.151042 0.347222 0.851074
0 0.4 0.8125 0.139583 0.369444 0.786133
0 0.266927 0.305093 0.105729 0.228704 0.805664
0 0.463542 0.923611 0.084375 0.152778 0.739258
0 0.266146 0.260185 0.119792 0.314815 0.63916
0 0.252604 0.406481 0.109375 0.194444 0.80957
0 0.21875 0.66713 0.108333 0.271296 0.845703
0 0.302344 0.772685 0.180729 0.150926 0.808105
0 0.224479 0.649537 0.10625 0.352778 0.836914
0 0.257812 0.494907 0.132292 0.317593 0.852539
0 0.260677 0.871759 0.130729 0.241667 0.797363
0 0.38099 0.313889 0.0848958 0.188889 0.697754
0 0.302083 0.837963 0.160417 0.324074 0.835449
0 0.21276 0.356481 0.0963542 0.324074 0.848633
0 0.416406 0.819907 0.135937 0.34537 0.853516
0 0.298438 0.550926 0.0947917 0.338889 0.633789
0 0.434635 0.83287 0.141146 0.334259 0.861816
0 0.46875 0.844444 0.160417 0.311111 0.715332
0 0.502604 0.855556 0.151042 0.287037 0.648926
0 0.391667 0.628704 0.16875 0.416667 0.821777
0 0.488802 0.710185 0.169271 0.183333 0.835449
0 0.403906 0.756481 0.169271 0.201852 0.820312
0 0.483854 0.952778 0.096875 0.0944444 0.629395
0 0.371875 0.60787 0.154167 0.362037 0.851562
0 0.339323 0.633333 0.147396 0.238889 0.853027
0 0.471615 0.9375 0.103646 0.123148 0.726562
0 0.50625 0.93287 0.0739583 0.134259 0.774414
0 0.226042 0.214352 0.0729167 0.173148 0.749023
0 0.404167 0.829167 0.192708 0.341667 0.734375
0 0.197656 0.247222 0.0880208 0.240741 0.779785
0 0.276042 0.885185 0.1375 0.22963 0.8125
0 0.396354 0.712963 0.161458 0.261111 0.856934
